block_height,block_timestamp,aave_Deposit_Count,aave_LiqThreshold,aaave_balance,aave_Debt_Count,variabledebtaave,variabledebtaave_borrow,stabledebtaave_borrow,stabledebtaave,aave_eth,ampl_Deposit_Count,ampl_LiqThreshold,aampl_balance,ampl_Debt_Count,variabledebtampl,variabledebtampl_borrow,stabledebtampl_borrow,stabledebtampl,ampl_eth,bal_Deposit_Count,bal_LiqThreshold,abal_balance,bal_Debt_Count,variabledebtbal,variabledebtbal_borrow,stabledebtbal_borrow,stabledebtbal,bal_eth,bat_Deposit_Count,bat_LiqThreshold,abat_balance,bat_Debt_Count,variabledebtbat,variabledebtbat_borrow,stabledebtbat_borrow,stabledebtbat,bat_eth,busd_Deposit_Count,busd_LiqThreshold,abusd_balance,busd_Debt_Count,variabledebtbusd,variabledebtbusd_borrow,stabledebtbusd_borrow,stabledebtbusd,busd_eth,crv_Deposit_Count,crv_LiqThreshold,acrv_balance,crv_Debt_Count,variabledebtcrv,variabledebtcrv_borrow,stabledebtcrv_borrow,stabledebtcrv,crv_eth,dai_Deposit_Count,dai_LiqThreshold,adai_balance,dai_Debt_Count,variabledebtdai,variabledebtdai_borrow,stabledebtdai_borrow,stabledebtdai,dai_eth,dpi_Deposit_Count,dpi_LiqThreshold,adpi_balance,dpi_Debt_Count,variabledebtdpi,variabledebtdpi_borrow,stabledebtdpi_borrow,stabledebtdpi,dpi_eth,enj_Deposit_Count,enj_LiqThreshold,aenj_balance,enj_Debt_Count,variabledebtenj,variabledebtenj_borrow,stabledebtenj_borrow,stabledebtenj,enj_eth,fei_Deposit_Count,fei_LiqThreshold,afei_balance,fei_Debt_Count,variabledebtfei,variabledebtfei_borrow,stabledebtfei_borrow,stabledebtfei,fei_eth,frax_Deposit_Count,frax_LiqThreshold,afrax_balance,frax_Debt_Count,variabledebtfrax,variabledebtfrax_borrow,stabledebtfrax_borrow,stabledebtfrax,frax_eth,gusd_Deposit_Count,gusd_LiqThreshold,agusd_balance,gusd_Debt_Count,variabledebtgusd,variabledebtgusd_borrow,stabledebtgusd_borrow,stabledebtgusd,gusd_eth,knc_Deposit_Count,knc_LiqThreshold,aknc_balance,knc_Debt_Count,variabledebtknc,variabledebtknc_borrow,stabledebtknc_borrow,stabledebtknc,knc_eth,link_Deposit_Count,link_LiqThreshold,alink_balance,link_Debt_Count,variabledebtlink,variabledebtlink_borrow,stabledebtlink_borrow,stabledebtlink,link_eth,mana_Deposit_Count,mana_LiqThreshold,amana_balance,mana_Debt_Count,variabledebtmana,variabledebtmana_borrow,stabledebtmana_borrow,stabledebtmana,mana_eth,mkr_Deposit_Count,mkr_LiqThreshold,amkr_balance,mkr_Debt_Count,variabledebtmkr,variabledebtmkr_borrow,stabledebtmkr_borrow,stabledebtmkr,mkr_eth,pax_Deposit_Count,pax_LiqThreshold,apax_balance,pax_Debt_Count,variabledebtpax,variabledebtpax_borrow,stabledebtpax_borrow,stabledebtpax,pax_eth,rai_Deposit_Count,rai_LiqThreshold,arai_balance,rai_Debt_Count,variabledebtrai,variabledebtrai_borrow,stabledebtrai_borrow,stabledebtrai,rai_eth,ren_Deposit_Count,ren_LiqThreshold,aren_balance,ren_Debt_Count,variabledebtren,variabledebtren_borrow,stabledebtren_borrow,stabledebtren,ren_eth,renfil_Deposit_Count,renfil_LiqThreshold,arenfil_balance,renfil_Debt_Count,variabledebtrenfil,variabledebtrenfil_borrow,stabledebtrenfil_borrow,stabledebtrenfil,renfil_eth,snx_Deposit_Count,snx_LiqThreshold,asnx_balance,snx_Debt_Count,variabledebtsnx,variabledebtsnx_borrow,stabledebtsnx_borrow,stabledebtsnx,snx_eth,steth_Deposit_Count,steth_LiqThreshold,asteth_balance,steth_Debt_Count,variabledebtsteth,variabledebtsteth_borrow,stabledebtsteth_borrow,stabledebtsteth,steth_eth,susd_Deposit_Count,susd_LiqThreshold,asusd_balance,susd_Debt_Count,variabledebtsusd,variabledebtsusd_borrow,stabledebtsusd_borrow,stabledebtsusd,susd_eth,tusd_Deposit_Count,tusd_LiqThreshold,atusd_balance,tusd_Debt_Count,variabledebttusd,variabledebttusd_borrow,stabledebttusd_borrow,stabledebttusd,tusd_eth,uni_Deposit_Count,uni_LiqThreshold,auni_balance,uni_Debt_Count,variabledebtuni,variabledebtuni_borrow,stabledebtuni_borrow,stabledebtuni,uni_eth,usdc_Deposit_Count,usdc_LiqThreshold,ausdc_balance,usdc_Debt_Count,variabledebtusdc,variabledebtusdc_borrow,stabledebtusdc_borrow,stabledebtusdc,usdc_eth,usdt_Deposit_Count,usdt_LiqThreshold,ausdt_balance,usdt_Debt_Count,variabledebtusdt,variabledebtusdt_borrow,stabledebtusdt_borrow,stabledebtusdt,usdt_eth,wbtc_Deposit_Count,wbtc_LiqThreshold,awbtc_balance,wbtc_Debt_Count,variabledebtwbtc,variabledebtwbtc_borrow,stabledebtwbtc_borrow,stabledebtwbtc,wbtc_eth,weth_Deposit_Count,weth_LiqThreshold,aweth_balance,weth_Debt_Count,variabledebtweth,variabledebtweth_borrow,stabledebtweth_borrow,stabledebtweth,weth_eth,xsushi_Deposit_Count,xsushi_LiqThreshold,axsushi_balance,xsushi_Debt_Count,variabledebtxsushi,variabledebtxsushi_borrow,stabledebtxsushi_borrow,stabledebtxsushi,xsushi_eth,yfi_Deposit_Count,yfi_LiqThreshold,ayfi_balance,yfi_Debt_Count,variabledebtyfi,variabledebtyfi_borrow,stabledebtyfi_borrow,stabledebtyfi,yfi_eth,zrx_Deposit_Count,zrx_LiqThreshold,azrx_balance,zrx_Debt_Count,variabledebtzrx,variabledebtzrx_borrow,stabledebtzrx_borrow,stabledebtzrx,zrx_eth,ust_Deposit_Count,ust_LiqThreshold,aust_balance,ust_Debt_Count,variabledebtust,variabledebtust_borrow,stabledebtust_borrow,stabledebtust,ust_eth,ens_Deposit_Count,ens_LiqThreshold,aens_balance,ens_Debt_Count,variabledebtens,variabledebtens_borrow,stabledebtens_borrow,stabledebtens,ens_eth,sum_total_collateral_eth_x_LT,total_collateral_eth,current_liquidation_threshold,available_borrows_eth,total_debt_eth,HF
11581206,2021-01-03 11:25:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0.825,310,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.7500000000,310.0000000000,0.825,255.75,0,inf
11631146,2021-01-11 03:24:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145036.101531815,145036.101531815,145036.101531815,0,0,0.0008935137882151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80030.2643557082,80030.2643557082,80030.2643557082,0,0,0.0008791843867297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60112.9448113742,60112.9448113742,60112.9448113742,0,0,0.0008944454846158,0,0,0,0,0,0,0,0,0.0008954806037749,0,0,0,0,0,0,0,0,0,530.019682684913,0.825,530.019682684913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.2662382151,530.0196826849,0.825,183.54537076653,253.720867448523,1.723414564250490
11687155,2021-01-19 17:40:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145036.101531815,145036.101531815,145036.101531815,0,0,0.0007039785553047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180039.461940071,180039.461940071,180039.461940071,0,0,0.0007043728837471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60112.9448113742,60112.9448113742,60112.9448113742,0,0,0.0007044123871331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.024133865868,0.825,595.024133865868,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.8949104393,595.0241338659,0.825,219.633387268764,271.261523170577,1.809673943807550
11733523,2021-01-26 20:30:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230605.222762676,230605.222762676,230605.222762676,0,0,0.0007468338506658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180039.461940071,180039.461940071,180039.461940071,0,0,0.0007491704070922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66974.2417965644,66974.2417965644,66974.2417965644,0,0,0.0007446409563579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.024133865868,0.825,595.024133865868,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.8949104393,595.0241338659,0.825,133.919123482805,356.975786956536,1.375149039167490
11777444,2021-02-02 14:48:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230605.222762676,230605.222762676,230605.222762676,0,0,0.0007024407090249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180039.461940071,180039.461940071,180039.461940071,0,0,0.0007060217782006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,80000,80000,80000,0,0,0.0007097431018078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66974.2417965644,66974.2417965644,66974.2417965644,0,0,0.0007027057123726,0,0,0,0,0,0,0,0,0.000703172992212,0,0,0,0,0,0,0,0,0,595.024133865868,0.825,595.024133865868,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.8949104393,595.0241338659,0.825,97.9540027549805,392.940907684361,1.249284309267350
11826259,2021-02-10 03:13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230605.222762676,230605.222762676,230605.222762676,0,0,0.0005512236375836,0,0,0,0,0,0,0,0,0,0,0,0,56000,56000,56000,0,0,0.0005533021300666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221433.499556874,221433.499556874,221433.499556874,0,0,0.0005514826173033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,120130.293458916,120130.293458916,120130.293458916,0,0,0.0005533476040216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66974.2417965644,66974.2417965644,66974.2417965644,0,0,0.0005523732413502,0,0,0,3299.9999999107,3299.9999999107,3299.9999999107,0,0,0.0005525368366764,0,0,0,0,0,0,0,0,0,595.024133865868,0.825,595.024133865868,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.8949104393,595.0241338659,0.825,105.386254879313,385.508655560028,1.273369361126840
11859304,2021-02-15 05:04:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230605.222762676,230605.222762676,230605.222762676,0,0,0.0005811804041285,0,0,0,0,0,0,0,0,0,0,0,0,56000,56000,56000,0,0,0.0005851065561854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221433.499556874,221433.499556874,221433.499556874,0,0,0.0005794836458787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,120130.293458916,120130.293458916,120130.293458916,0,0,0.0005887710423026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77693.7323226726,77693.7323226726,77693.7323226726,0,0,0.0005809181567088,0,0,0,3299.9999999107,3299.9999999107,3299.9999999107,0,0,0.0005819892426224,0,0,0,0,0,0,0,0,0,595.024133865868,0.825,595.024133865868,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490.8949104393,595.0241338659,0.825,78.0051127294684,412.889797709873,1.188924776446720
11915354,2021-02-23 19:45:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230605.222762676,230605.222762676,230605.222762676,0,0,0.0006899439311271,0,0,0,0,0,0,0,0,0,0,0,0,56000,56000,56000,0,0,0.0006878156444493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221433.499556874,221433.499556874,221433.499556874,0,0,0.0006805287472925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,120130.293458916,120130.293458916,120130.293458916,0,0,0.0006934334987525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41842.6827284086,41842.6827284086,41842.6827284086,0,0,0.0006881001014449,0,0,0,3299.9999999107,3299.9999999107,3299.9999999107,0,0,0.000689022016286,0,0,0,0,0,0,0,0,0,568.967675788748,0.825,568.967675788748,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.3983325257,568.9676757887,0.825,6.71602385999387,462.682308665723,1.014515410972510
11965363,2021-03-03 12:47:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58865.3082367601,58865.3082367601,58865.3082367601,0,0,0.0006060469698259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221433.499556874,221433.499556874,221433.499556874,0,0,0.0006071433783734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20942.2980439763,20942.2980439763,20942.2980439763,0,0,0.0006061284555416,69.9050083440437,0,69.9050083440437,0,0.000000157816214,0.000000157816214,0,0,0.0006076146576991,0,0,0,0,0,0,0,0,0,283.029661974903,0.825,283.029661974903,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.4994711293,283.0296619749,0.825,50.6887236696466,182.810747459648,1.277274308945290
12011731,2021-03-10 15:52:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58865.3082367601,58865.3082367601,58865.3082367601,0,0,0.000546000218627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221433.499556874,221433.499556874,221433.499556874,0,0,0.0005462155662439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57337.52293266,57337.52293266,57337.52293266,0,0,0.0005457641014429,0,0,0,0,0,0,0,0,0,0,0,0,20942.2980439763,20942.2980439763,20942.2980439763,0,0,0.0005462259510275,69.9050083440437,0,69.9050083440437,0,0.000000157816214,0.000000157816214,0,0,0.0005464719064276,0,0,0,0,0,0,0,0,0,318.039675104109,0.825,318.039675104109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.3827319609,318.0396751041,0.825,66.5598481001695,195.82288386072,1.339898212036910
12058099,2021-03-17 19:37:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58865.3082367601,58865.3082367601,58865.3082367601,0,0,0.0005458670059409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221433.499556874,221433.499556874,221433.499556874,0,0,0.0005444969858465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57337.52293266,57337.52293266,57337.52293266,0,0,0.0005455098942862,0,0,0,0,0,0,0,0,0,0,0,0,121089.527886413,121089.527886413,121089.527886413,0,0,0.0005451686178577,69.9050083440437,0,69.9050083440437,0,0.000000157816214,0.000000157816214,0,0,0.0005465828673772,0,0,0,0,0,0,0,0,0,372.050979620666,0.825,372.050979620666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.9420581871,372.0509796207,0.825,56.9471589233959,249.994899263653,1.227793283347500
